Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
1853145,Sarum: The Novel of England,Edward Rutherfurd,"Rutherfurd, Edward",,"=""0449000729""","=""9780449000724""",0,4.08,Ballantine Books,Paperback,912,1997,1987,,2026/03/02,"currently-reading, libby-audio","currently-reading (#3), libby-audio (#48)",currently-reading,,,,1,0
776384,"One Corpse Too Many (Chronicles of Brother Cadfael, #2)",Ellis Peters,"Peters, Ellis",,"=""0446400513""","=""9780446400510""",0,4.07,Grand Central Publishing,Mass Market Paperback,214,1994,1979,,2026/03/29,"hoopla, to-read","hoopla (#8), to-read (#763)",to-read,,,,1,0
17669062,Shaman,Kim Stanley Robinson,"Robinson, Kim Stanley",,"=""0316098078""","=""9780316098076""",5,3.77,Orbit,Hardcover,456,2013,2013,2026/03/28,2026/03/04,hoopla,hoopla (#6),read,,,,1,0
321545,"A Morbid Taste for Bones (Chronicles of Brother Cadfael, #1)",Ellis Peters,"Peters, Ellis",,"=""0446400157""","=""9780446400152""",0,3.96,Grand Central Publishing,Mass Market Paperback,197,1994,1977,,2026/03/27,"currently-reading, hoopla","currently-reading (#2), hoopla (#7)",currently-reading,,,,1,0
14428,The Inheritors,William Golding,"Golding, William",,"=""0156443791""","=""9780156443791""",0,3.51,Mariner Books,Paperback,233,1963,1955,,2026/03/27,to-read,to-read (#762),to-read,,,,0,0
41057382,"Legionary (The Thrice Named Man, #2)",Hector Miller,"Miller, Hector",,"=""""","=""""",5,4.51,Amazon,Kindle Edition,278,2018,2018,2026/03/27,2026/03/26,audible,audible (#14),read,,,,1,0
40499260,"Scythian (The Thrice Named Man, #1)",Hector Miller,"Miller, Hector",,"=""""","=""""",5,4.47,Amazon,Kindle Edition,263,2018,2018,2026/03/26,2026/03/25,hoopla,hoopla (#5),read,,,,1,0
242753683,The Gold Standard: An Alternative History of the Twentieth Century,Saifedean Ammous,"Ammous, Saifedean",,"=""""","=""9798987975558""",5,4.19,The Saif House,Kindle Edition,432,2025,,2026/03/26,2026/03/23,hoopla,hoopla (#4),read,,,,1,0
238583498,"The Adventure of the Demonic Ox (Penric and Desdemona, #14)",Lois McMaster Bujold,"Bujold, Lois McMaster",,"=""""","=""""",5,4.37,"Spectrum Literary Agency, Inc.",Kindle Edition,139,2025,2025,2026/03/24,2026/03/22,,,read,,,,1,0
215793538,"Penric and the Bandit (Penric and Desdemona, #13)",Lois McMaster Bujold,"Bujold, Lois McMaster",,"=""""","=""""",5,4.52,"Spectrum Literary Agency, Inc",Kindle Edition,123,2024,2024,2026/03/22,2026/03/22,libby-audio,libby-audio (#47),read,,,,1,0
59428934,"Knot of Shadows (Penric and Desdemona, #11)",Lois McMaster Bujold,"Bujold, Lois McMaster",,"=""""","=""""",5,4.29,Spectrum Literary Agency,Kindle Edition,114,2021,2021,2026/03/19,2026/03/10,libby-audio,libby-audio (#46),read,,,,1,0
205048105,"Demon Daughter (Penric and Desdemona, #12)",Lois McMaster Bujold,"Bujold, Lois McMaster",,"=""""","=""""",5,4.48,"Spectrum Literary Agency, Inc.",Kindle Edition,153,2024,2024,2026/03/21,2026/03/21,,,read,,,,1,0
207627291,Juice,Tim Winton,"Winton, Tim",,"=""1035050838""","=""9781035050833""",0,3.92,Picador,Kindle Edition,529,2024,2024,,2026/03/18,to-read,to-read (#761),to-read,,,,0,0
60806778,The Deluge,Stephen Markley,"Markley, Stephen",,"=""1982123095""","=""9781982123093""",0,4.23,Simon & Schuster,Hardcover,896,2023,2023,,2026/03/18,to-read,to-read (#760),to-read,,,,0,0
10075553,Soft Apocalypse,Will McIntosh,"McIntosh, Will",,"=""159780276X""","=""9781597802765""",0,3.53,Night Shade,Paperback,256,2011,2011,,2026/03/18,to-read,to-read (#759),to-read,,,,0,0
50998056,The Ministry for the Future,Kim Stanley Robinson,"Robinson, Kim Stanley",,"=""0316300136""","=""9780316300131""",0,3.86,Orbit,Hardcover,563,2020,2020,,2026/03/18,to-read,to-read (#758),to-read,,,,0,0
26863057,"Age of Myth (The Legends of the First Empire, #1)",Michael J. Sullivan,"Sullivan, Michael J.",,"=""1101965339""","=""9781101965337""",5,4.22,Del Rey,Hardcover,432,2016,2016,2026/03/18,2026/02/22,libby-audio,libby-audio (#45),read,,,,1,0
208141987,"Drumindor (The Riyria Chronicles, #5)",Michael J. Sullivan,"Sullivan, Michael J.",,"=""194336351X""","=""9781943363513""",5,4.37,Riyria Enterprises,ebook,528,2024,2024,2026/03/17,2026/02/22,libby-audio,libby-audio (#44),read,,,,1,0
61903,"Shards of Honour  (Vorkosigan Saga, #1)",Lois McMaster Bujold,"Bujold, Lois McMaster",,"=""0743468422""","=""9780743468428""",0,4.06,Earthlight,Paperback,253,2003,1986,,2026/03/10,to-read,to-read (#757),to-read,,,,0,0
57768578,"The Assassins of Thasalon (Penric and Desdemona, #10)",Lois McMaster Bujold,"Bujold, Lois McMaster",,"=""""","=""""",5,4.50,Spectrum Literary Agency,Kindle Edition,308,2021,2021,2026/03/08,2026/02/22,libby-audio,libby-audio (#43),read,Love these stories,,,1,0
